label,message,processed_text
ham,Oh k...i'm watching here:),oh k watching
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,eh u remember spell name yes v naughty make v wet
ham,Fine if thats the way u feel. Thats the way its gota b,fine way u feel way gota b
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+",england v macedonia dont miss goals team news txt ur national team eg england try wales scotland txt poboxox w wq
ham,Is that seriously how you spell his name?,seriously spell name
ham,I‘m going to try for 2 months ha ha only joking,going try months ha ha joking
ham,So ü pay first lar... Then when is da stock comin...,pay first lar da stock comin
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft finish lunch go str lor ard smth lor u finish ur lunch already
ham,Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright way meet sooner
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,forced eat slice really hungry tho sucks mark getting worried knows sick turn pizza lol
ham,Lol your always so convincing.,lol always convincing
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,catch bus frying egg make tea eating mom left dinner feel love
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room",back amp packing car let know room
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work vaguely remember feel like lol
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait still clear sure sarcastic x want live us
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers
ham,K tell me anything about you.,k tell anything
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting housework quick cuppa
spam,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks subscription ringtone uk mobile charged month please confirm replying yes reply charged
ham,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok go home look timings msg xuhui going learn nd may lesson
ham,"Oops, I'll let you know when my roommate's done",oops let know roommate done
ham,I see the letter B on my car,see letter b car
ham,Anything lor... U decide...,anything lor u decide
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello saturday go texting see decided anything tomo trying invite anything
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts wanted sure great weekend abiola
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",forget tell want need crave love sweet arabian steed mmmmmm yummy
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
ham,WHO ARE YOU SEEING?,seeing
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great hope like man well endowed lt gt inches
ham,No calls..messages..missed calls,calls messages missed calls
ham,Didn't you get hep b immunisation in nigeria.,get hep b immunisation nigeria
ham,"Fair enough, anything going on?",fair enough anything going
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler could maybe ask around bit
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u know stubborn even want go hospital kept telling mark weak sucker hospitals weak suckers
ham,What you thinked about me. First time you saw me in class.,thinked first time saw class
ham,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like lt gt half eighth smarter though gets almost whole second gram lt gt
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x ride early tomorrow morning crashing place tonight
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow never realized embarassed accomodations thought liked since best could always seemed happy cave sorry give sorry offered sorry room embarassing
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,know mallika sherawat yesterday find lt url gt
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",congrats year special cinema pass call c suprman v matrix starwars etc free bx ip pm dont miss
ham,"Sorry, I'll call later in meeting.",sorry call later meeting
ham,Tell where you reached,tell reached
ham,Yes..gauti and sehwag out of odi series.,yes gauti sehwag odi series
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,gon na pick burger way home even move pain killing
ham,Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls situation seekers
ham,Its a part of checking IQ,part checking iq
ham,"Sorry my roommates took forever, it ok if I come by now?",sorry roommates took forever ok come
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded bonus prize call
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today song dedicated day song u dedicate send ur valuable frnds first rply
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav aco entry claim txt dis morefrmmob shracomorsglsuplt ls aj
spam,"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",hear new divorce barbie comes ken stuff
ham,I plane to give on this month end.,plane give month end
ham,Wah lucky man... Then can save money... Hee...,wah lucky man save money hee
ham,Finished class where are you.,finished class
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im home wan na something xx
ham,K..k:)where are you?how did you performed?,k k performed
ham,U can call me now...,u call
ham,I am waiting machan. Call me once you free.,waiting machan call free
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool gentleman treat dignity respect
ham,I like you peoples very much:) but am very shy pa.,like peoples much shy pa
ham,Does not operate after  &lt;#&gt;  or what,operate lt gt
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,still looking job much ta earn
ham,"Sorry, I'll call later",sorry call later
ham,K. Did you call me just now ah? ,k call ah
ham,Ok i am on the way to home hi hi,ok way home hi hi
ham,You will be in the place of that man,place man
ham,Yup next stop.,yup next stop
ham,"I call you later, don't have network. If urgnt, sms me.",call later network urgnt sms
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real u getting yo need tickets one jacket done already used multis
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes started send requests make pain came back back bed double coins factory got ta cash nitros
ham,I'm really not up to it still tonight babe,really still tonight babe
ham,"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah stand close tho catch something
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,sorry pain ok meet another night spent late afternoon casualty means done stuff moro includes time sheets sorry
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call customer service representative pm guaranteed cash prize
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later check already lido got show e afternoon u finish work already
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",free ringtone waiting collected simply text password mix verify get usher britney fml po box mk h ppw
ham,Watching telugu movie..wat abt u?,watching telugu movie wat abt u
ham,i see. When we finish we have loads of loans to pay,see finish loads loans pay
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u
ham,I see a cup of coffee animation,see cup coffee animation
