label,message,processed_text
spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery,want new video phone anytime network mins half price line rental free text months reply call free delivery
ham,I notice you like looking in the shit mirror youre turning into a right freak,notice like looking shit mirror youre turning right freak
ham,No management puzzeles.,management puzzeles
ham,1. Tension face 2. Smiling face 3. Waste face 4. Innocent face 5.Terror face 6.Cruel face 7.Romantic face 8.Lovable face 9.decent face  &lt;#&gt; .joker face.,tension face smiling face waste face innocent face terror face cruel face romantic face lovable face decent face lt gt joker face
ham,Its sunny in california. The weather's just cool,sunny california weather cool
ham,"fyi I'm at usf now, swing by the room whenever",fyi usf swing room whenever
ham,I asked sen to come chennai and search for job.,asked sen come chennai search job
ham,Love it! I want to flood that pretty pussy with cum...,love want flood pretty pussy cum
ham,Will ü b going to esplanade fr home?,b going esplanade fr home
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer service announcement call freephone
ham,How are you. Wish you a great semester,wish great semester
ham,Hi happy birthday. Hi hi hi hi hi hi hi,hi happy birthday hi hi hi hi hi hi hi
ham,Can i get your opinion on something first?,get opinion something first
ham,Done it but internet connection v slow and can‘t send it. Will try again later or first thing tomo.,done internet connection v slow send try later first thing tomo
ham,I anything lor...,anything lor
ham,I am going to film 2day da. At 6pm. Sorry da.,going film day da pm sorry da
ham,Do I? I thought I put it back in the box,thought put back box
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,important customer service announcement call freephone
ham,Dai what this da.. Can i send my resume to this id.,dai da send resume id
ham,Yes when is the appt again?,yes appt
ham,And by when you're done I mean now,done mean
ham,She told to hr that he want posting in chennai:)because i'm working here:),told hr want posting chennai working
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",know god created gap fingers one made comes amp fills gaps holding hand love
ham,I thought slide is enough.,thought slide enough
ham,God bless.get good sleep my dear...i will pray!,god bless get good sleep dear pray
ham,I called but no one pick up e phone. I ask both of them already they said ok.,called one pick e phone ask already said ok
ham,Free any day but i finish at 6 on mon n thurs...,free day finish mon n thurs
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL,ur cash balance currently pounds maximize ur cash send go p msg cc hg suite lands row w j hl
spam,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),babe u want dont u baby im nasty thing filthyguys fancy rude time sexy bitch go slo n hard txt xxx slo msgs
ham,Do u noe wat time e place dat sells 4d closes?,u noe wat time e place dat sells closes
ham,One of the joys in lifeis waking up each daywith thoughts that somewhereSomeone cares enough tosend a warm morning greeting.. -,one joys lifeis waking daywith thoughts somewheresomeone cares enough tosend warm morning greeting
ham,But i juz remembered i gotta bathe my dog today..,juz remembered got ta bathe dog today
ham,I went to project centre,went project centre
ham,I will take care of financial problem.i will help:),take care financial problem help
ham,In e msg jus now. U said thanks for gift.,e msg jus u said thanks gift
ham,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive,yoyyooo u know change permissions drive mac usb flash drive
ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,watching house entertaining getting whole hugh laurie thing even stick indeed especially stick
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,want explicit sex secs ring costs p min gsex pobox wc n xx
ham,"Sure, I'll see if I can come by in a bit",sure see come bit
ham,I borrow ur bag ok.,borrow ur bag ok
spam,"FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop",free ringtone text first poly text get true tone help st free tones x pw e nd txt stop
ham,I dont know oh. Hopefully this month.,dont know oh hopefully month
ham,Den wat will e schedule b lk on sun?,den wat e schedule b lk sun
ham,"Uh, heads up we don't have THAT much left",uh heads much left
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,hard live chat p min choose girl connect live call cheap chat uk biggest live service vu bcm wc n xx
ham,"Sir, i am waiting for your call, once free please call me.",sir waiting call free please call
ham,"My planning usually stops at ""find hella weed, smoke hella weed""",planning usually stops find hella weed smoke hella weed
ham,Nt joking seriously i told,nt joking seriously told
ham,Ranjith cal drpd Deeraj and deepak 5min hold,ranjith cal drpd deeraj deepak min hold
ham,Ü give me some time to walk there.,give time walk
ham,"Sorry, was in the bathroom, sup",sorry bathroom sup
ham,Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.,aiyar hard type u later free tell call n scold n tell u
ham,Ü takin linear algebra today?,takin linear algebra today
ham,Not able to do anything.,able anything
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,private account statement shows un redeemed points call identifier code expires
ham,Nokia phone is lovly..,nokia phone lovly
ham,Oh ho. Is this the first time u use these type of words,oh ho first time u use type words
ham,Then why no one talking to me,one talking
ham,Why you keeping me away like this,keeping away like
ham,So that means you still think of teju,means still think teju
ham,CHEERS U TEX MECAUSE U WEREBORED! YEAH OKDEN HUNNY R UIN WK SAT?SOUNDS LIKEYOUR HAVIN GR8FUN J! KEEP UPDAT COUNTINLOTS OF LOVEME XXXXX.,cheers u tex mecause u werebored yeah okden hunny r uin wk sat sound likeyour havin gr fun j keep updat countinlots loveme xxxxx
ham,Ü thk of wat to eat tonight.,thk wat eat tonight
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,purity friendship two smiling reading forwarded message smiling seeing name gud evng
ham,No shoot me. I'm in the docs waiting room. :/,shoot docs waiting room
spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 £100 cash. Name the NEW US President? txt ans to 80082,thanks continued support question week enter u draw cash name new us president txt ans
ham,How r ü going to send it to me?,r going send
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,urgent nd attempt contact u u call b csbcm wc n xx callcost ppm mobilesvary max
ham,"Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses*",babe fucking love know fuck good hear voice need crave get enough adore ahmad kisses
ham,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",erm ill pick pm give enough time get park
ham,If u dun drive then how i go 2 sch.,u dun drive go sch
ham,"Beautiful Truth against Gravity.. Read carefully: ""Our heart feels light when someone is in it.. But it feels very heavy when someone leaves it.."" GOODMORNING",beautiful truth gravity read carefully heart feels light someone feels heavy someone leaves goodmorning
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",cash prize claim call c rstm sw ss ppm
ham,Think + da. You wil do.,think da wil
ham,U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...,u horrible gal u knew dat going wif yest n u still come n ask
spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",sim subscriber selected receive bonus get delivered door txt word ok claim p msg exp apr
ham,"What will we do in the shower, baby?",shower baby
ham,Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke ,yup hey one day fri ask miwa jiayin take leave go karaoke
ham,my ex-wife was not able to have kids. Do you want kids one day?,ex wife able kids want kids one day
spam,wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,wamma get laid want real doggin locations sent direct mobile join uks largest dogging network txt dogs nyt ec lp msg
ham,"Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...",nothing meant money enters account bank remove flat rate someone transfered lt gt account lt gt dollars got removed banks differ charges also differ sure trust ja person sending account details cos
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!,prof passed papers sem congrats student enna kalaachutaarama prof gud mrng
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...",work ah den plus lor u workin oso rite den go orchard lor place go liao
ham,yay! finally lol. i missed our cinema trip last week :-(,yay finally lol missed cinema trip last week
ham,Ü no home work to do meh... ,home work meh
ham,No no:)this is kallis home ground.amla home town is durban:),kallis home ground amla home town durban
ham,Havent.,havent
ham,I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,probably eat today think gon na pop weekend u miss
ham,Dont worry. I guess he's busy.,dont worry guess busy
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",thing change sentence want concentrate educational career im leaving
ham,Congrats kano..whr s the treat maga?,congrats kano whr treat maga
ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.",sorry trouble u buy dad big small sat n sun thanx
spam,"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",thanks ringtone order reference number x mobile charged tone arrive please call customer services
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,hi ibh customer loyalty offer new nokia mobile txtauction txt word start get
ham,"K, wat s tht incident?",k wat tht incident
ham,You flippin your shit yet?,flippin shit yet
ham,How's ur paper?,ur paper
ham,Yes princess! I want to please you every night. Your wish is my command...,yes princess want please every night wish command
ham,When're you guys getting back? G said you were thinking about not staying for mcr,guys getting back g said thinking staying mcr
spam,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records.",contract mobile mnths latest motorola nokia etc free double mins text orange tariffs text yes callback remove records
ham,Excellent! Wish we were together right now!,excellent wish together right
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",valued customer pleased advise following recent review mob awarded bonus prize call
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!,hey almost forgot happy b day babe love ya
ham,I'm home. Ard wat time will u reach?,home ard wat time u reach
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",sometimes put walls around hearts safe getting hurt find cares enough break walls amp get closer goodnoon
ham,U don't remember that old commercial?,u remember old commercial
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.,cos shopping wif darren jus n called ask wat present wan lor started guessing wif n finally guessed darren lor
ham,Anything lor... U decide...,anything lor u decide
ham,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",sorry vikky watching olave mandara movie kano trishul theatre wit frnds
ham,Ok i will tell her to stay out. Yeah its been tough but we are optimistic things will improve this month.,ok tell stay yeah tough optimistic things improve month
ham,Dude how do you like the buff wind.,dude like buff wind
ham,Happy New Year Princess!,happy new year princess
ham,alright. Thanks for the advice. Enjoy your night out. I'ma try to get some sleep...,alright thanks advice enjoy night try get sleep
ham,"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ok later showing around want cld drink wld prefer spend money nosh mind nxt wk
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!,sef dey laugh meanwhile darling anjie
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",fuck babe miss sooooo much wish sleep bed lonely go sleep dream love
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.",nothing smsing u n xy lor sorry lor da guys neva c u person sort know u lor u wan meet xy ask bring u along next meeting
ham,How is your schedule next week? I am out of town this weekend.,schedule next week town weekend
ham,"Ah, well that confuses things, doesn‘t it?",ah well confuses things
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,hi kate u give ring asap xxx
ham,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,run away frm u walk slowly amp kills u care enough stop
ham,Convey my regards to him,convey regards
ham,"Yeah we wouldn't leave for an hour at least, how's 4 sound?",yeah leave hour least sound
ham,Ujhhhhhhh computer shipped out with address to sandiago and parantella lane. Wtf. Poop.,ujhhhhhhh computer shipped address sandiago parantella lane wtf poop
ham,"Yes, princess. Toledo.",yes princess toledo
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",say slowly god love amp need clean heart blood send ten special people amp u c miracle tomorrow pls pls
ham,I'm done oredi...,done oredi
ham,Watching telugu movie..wat abt u?,watching telugu movie wat abt u
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome finding job lazy working towards getting back net mummy boytoy miss
ham,"Hey elaine, is today's meeting still on?",hey elaine today meeting still
ham,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything.",good evening sir hope nice day wanted bring notice late paying rent past months pay lt gt charge felt would inconsiderate nag something give great cost didnt speak however recession wont able pay charge month hence askin well ahead month end please help thank everything
ham,Shall i start from hear.,shall start hear
ham,Did u download the fring app?,u download fring app
ham,Yar lor... Keep raining non stop... Or u wan 2 go elsewhere?,yar lor keep raining non stop u wan go elsewhere
ham,"Total disappointment, when I texted you was the craziest shit got :(",total disappointment texted craziest shit got
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub,ur awarded city break could win summer shopping spree every wk txt store skilgme tscs winawk age perwksub
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?",sorry battery died come getting gram place
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",congrats mobile g videophones r call videochat wid ur mates play java games dload polyh music noline rentl bx ip pm
ham,WHORE YOU ARE UNBELIEVABLE.,whore unbelievable
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...,say like dat dun buy ericsson oso oredi lar
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,ringtone club gr new polys direct mobile every week
ham,Headin towards busetop,headin towards busetop
ham,"We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us",sent jd customer service cum accounts executive ur mail id details contact us
ham,Aight ill get on fb in a couple minutes,aight ill get fb couple minutes
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,u secret admirer reveal thinks u r special call opt reply reveal stop per msg recd cust care
ham,I emailed yifeng my part oredi.. Can ü get it fr him..,emailed yifeng part oredi get fr
ham,IM LATE TELLMISS IM ON MY WAY,im late tellmiss im way
ham,TELL HER I SAID EAT SHIT.,tell said eat shit
ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,meant say cant wait see u getting bored bridgwater banter
ham,LOL ... No just was busy,lol busy
ham,Dude got a haircut. Now its breezy up there,dude got haircut breezy
ham,"Sorry,in meeting I'll call later",sorry meeting call later
spam,You are a winner you have been specially selected to receive £1000 cash or a £2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p,winner specially selected receive cash award speak live operator claim call pm cost p
ham,MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY,new years eve ok went party boyfriend si hey
ham,"Just looked it up and addie goes back Monday, sucks to be her",looked addie goes back monday sucks
ham,Boooo you always work. Just quit.,boooo always work quit
ham,No rushing. I'm not working. I'm in school so if we rush we go hungry.,rushing working school rush go hungry
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,looks like u wil b getting headstart im leaving bout ish u r desperate company could head earlier goin meet rummer
ham,Is ur lecture over?,ur lecture
ham,I‘m going to try for 2 months ha ha only joking,going try months ha ha joking
ham,How much are we getting?,much getting
ham,"&lt;#&gt;  is fast approaching. So, Wish u a very Happy New Year Happy Sankranti Happy republic day Happy Valentines Day Happy Shivratri Happy Ugadi Happy Fools day Happy May Day Happy Independence Day, Happy Friendship,Mother,Father,Teachers,Childrens Day, &amp; HAPPY BIRTHDAY 4 U. Happy Ganesh festival Happy Dasara Happy Diwali Happy Christmas  &lt;#&gt;  Good Mornings Afternoons, Evenings Nights. RememberI AM the first to WISHING U ALL THESE...your's Raj",lt gt fast approaching wish u happy new year happy sankranti happy republic day happy valentines day happy shivratri happy ugadi happy fools day happy may day happy independence day happy friendship mother father teachers childrens day amp happy birthday u happy ganesh festival happy dasara happy diwali happy christmas lt gt good mornings afternoons evenings nights rememberi first wishing u raj
ham,We can make a baby in yo tho,make baby yo tho
ham,"Damn, can you make it tonight or do you want to just wait til tomorrow",damn make tonight want wait til tomorrow
ham,Hey you told your name to gautham ah?,hey told name gautham ah
ham,So i asked how's anthony. Dad. And your bf,asked anthony dad bf
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,yeah got v apologetic n fallen actin like spoilt child got caught till go badly cheers
ham,"I didnt get ur full msg..sometext is missing, send it again",didnt get ur full msg sometext missing send
ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ",dun thk quit yet hmmm go jazz yogasana oso go meet em lessons den
ham,I know I'm lacking on most of this particular dramastorm's details but for the most part I'm not worried about that,know lacking particular dramastorm details part worried
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,",said u mind go bedroom minute ok sed sexy mood came minuts latr wid cake n wife
ham,Otherwise had part time job na-tuition..,otherwise part time job na tuition
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,hi sue years old work lapdancer love sex text live bedroom text sue textoperator g da ppmsg
ham,Cause I'm not freaky lol,cause freaky lol
spam,sports fans - get the latest sports news str* 2 ur mobile 1 wk FREE PLUS a FREE TONE Txt SPORT ON to 8007 www.getzed.co.uk 0870141701216+ norm 4txt/120p ,sports fans get latest sports news str ur mobile wk free plus free tone txt sport norm txt p
ham,I have to take exam with march 3,take exam march
ham,I cant pick the phone right now. Pls send a message,cant pick phone right pls send message
ham,&lt;#&gt;  great loxahatchee xmas tree burning update: you can totally see stars here,lt gt great loxahatchee xmas tree burning update totally see stars
ham,Did you show him and wot did he say or could u not c him 4 dust?,show wot say could u c dust
ham,"That's very rude, you on campus?",rude campus
ham,Its too late:)but its k.wish you the same.,late k wish
spam,"Hi, the SEXYCHAT girls are waiting for you to text them. Text now for a great night chatting. send STOP to stop this service",hi sexychat girls waiting text text great night chatting send stop stop service
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead watts wanted sure great weekend abiola
ham,So u workin overtime nigpun?,u workin overtime nigpun
ham,"naughty little thought: 'its better to flirt, flirt n flirt, rather than loving someone n gettin hurt, hurt n hurt...:-) Gud nyt",naughty little thought better flirt flirt n flirt rather loving someone n gettin hurt hurt n hurt gud nyt
ham,Dad went out oredi... ,dad went oredi
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,message text missing sender name missing number missing sent date missing missing u lot thats everything missing sent via fullonsms com
ham,Package all your programs well,package programs well
ham,"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",swt thought nver get tired little things lovable persons coz somtimes little things occupy biggest part hearts gud ni
ham,Oh k:)after that placement there ah?,oh k placement ah
ham,Play w computer? Aiyah i tok 2 u lor?,play w computer aiyah tok u lor
ham,Tell me pa. How is pain de.,tell pa pain de
spam,"URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",urgent mobile number bonus caller prize nd attempt reach call asap box n qp ppm
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,made payments dont much sorry would want fedex way
spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",reminder get pounds free call credit details great offers pls reply text valid name house postcode
ham,I've reached sch already...,reached sch already
ham,"Yeah, don't go to bed, I'll be back before midnight",yeah go bed back midnight
ham,We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,supposed meet discuss abt trip thought xuhui told afternoon thought go lesson
ham,Good morning. At the repair shop--the ONLY reason i'm up at this hour.,good morning repair shop reason hour
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.,good morning dear shijutta great amp successful day
ham,Were gonna go get some tacos,gon na go get tacos
ham,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng,purity friendship two smiling reading forwarded message smiling seeing name gud evng
spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,would like see xxx pics hot nearly banned uk
ham,We r outside already.,r outside already
ham,Ha ha cool cool chikku chikku:-):-DB-),ha ha cool cool chikku chikku db
ham,"Whatever, juliana. Do whatever you want.",whatever juliana whatever want
ham,No:-)i got rumour that you going to buy apartment in chennai:-),got rumour going buy apartment chennai
spam,"Our dating service has been asked 2 contact U by someone shy! CALL 09058091870 NOW all will be revealed. POBox84, M26 3UZ 150p",dating service asked contact u someone shy call revealed pobox uz p
ham,Some of them told accenture is not confirm. Is it true.,told accenture confirm true
ham,Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,haha dont angry take practice real thing
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning
ham,Amazing : If you rearrange these letters it gives the same meaning... Dormitory = Dirty room Astronomer = Moon starer The eyes = They see Election results = Lies lets recount Mother-in-law = Woman Hitler Eleven plus two =Twelve plus one Its Amazing... !:-),amazing rearrange letters gives meaning dormitory dirty room astronomer moon starer eyes see election results lies lets recount mother law woman hitler eleven plus two twelve plus one amazing
ham,Oh thanks a lot..i already bought 2 eggs ..,oh thanks lot already bought eggs
ham,He said i look pretty wif long hair wat. But i thk he's cutting quite short 4 me leh.,said look pretty wif long hair wat thk cutting quite short leh
ham,"Probably, want to pick up more?",probably want pick
ham,I wont. So wat's wit the guys,wont wat wit guys
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,wan early lei outside wun b home early neva mind
ham,"I've got ten bucks, jay is being noncomittal",got ten bucks jay noncomittal
ham,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,hi moved pub would great c u u cud come
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",thank calling forgot say happy onam sirji fine remembered met insurance person meet qatar insha allah rakhesh ex tata aig joined tissco tayseer
ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",wiskey brandy rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukkal
ham,I am late. I will be there at,late
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",entered cabin pa said happy b day boss felt special askd lunch lunch invited apartment went
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,hello little party animal thought buzz friends grins reminding loved send naughty adoring kiss
ham,No. Yes please. Been swimming?,yes please swimming
ham,* Am on a train back from northampton so i'm afraid not!,train back northampton afraid
